cep,endereco,numero,bairro,cidade,estado,tipo,complemento,pais,valor,area,quartos,suites,salas,garagem,descricao,imagem,piscina,praia,lazer,gourmet,varanda,quadra,elevador,solarium,vendido,comissao,valor_comissao,corretor,data_venda,proprietario,construtora,telefone,festa
58011341,Rua Professora Lídia Mendonça,310,Trincheiras,João Pessoa,PB,Terreno,,Brasil,232839.37,278,9,5,3,4,,,False,False,True,False,False,True,False,True,True,8.0,18627.1496,Srta. Rebeca Jesus,19/12/2022,Rodrigo Aragão,0,83990353320,True
58077120,Rua José de Araújo da Silva,876,Cuiá,João Pessoa,PB,Terreno,,Brasil,324273.23,473,10,0,1,3,,,False,False,False,False,False,False,True,True,False,0.0,0.0,,,Dra. Maria Cecília Lima,0,83937535960,False
58056562,Rua Eloi Inácio de Albuquerque,231,Mangabeira,João Pessoa,PB,Casa,,Brasil,260182.12,339,6,0,3,3,,,True,True,True,True,True,True,False,True,True,10.0,26018.212,Sra. Bárbara Gonçalves,07/06/2023,Bernardo Cavalcanti,0,8392619995,False
58082000,Rodovia BR-101,971,Distrito Industrial,João Pessoa,PB,Apartamento,,Brasil,222965.78,149,6,4,3,5,Aceita permuta,,True,True,False,True,False,False,True,False,False,0.0,0.0,,,Rafael da Cunha,0,83992987706,True
58078535,Rua Campina Grande,534,Funcionários,João Pessoa,PB,Terreno,,Brasil,259750.67,278,4,0,3,1,Aceita carro no negócio,,True,False,True,False,True,True,True,True,False,0.0,0.0,,,Dr. Noah da Mata,0,83979950525,True
58076055,Rua Henrique Joaquim dos Santos,571,João Paulo II,João Pessoa,PB,Terreno,,Brasil,474477.42,270,4,0,3,2,Aceita permuta,,False,False,True,True,True,False,False,True,True,8.0,37958.1936,Daniel Cunha,21/03/2023,Dr. Arthur Costa,0,83916279925,False
58027180,Rua Coelho Paiva,324,Mandacaru,João Pessoa,PB,Casa,,Brasil,70516.53,498,3,3,2,4,Aceita carro no negócio,,False,False,True,False,True,False,True,True,True,7.0,4936.1571,João Vitor Freitas,01/06/2023,Dra. Milena Castro,0,83994465745,False
58083622,Rua Iraque,286,Indústrias,João Pessoa,PB,Casa,,Brasil,232611.67,332,4,3,2,2,,,False,False,True,False,False,True,False,True,True,10.0,23261.167,Nina Dias,08/02/2023,Pedro Lucas da Rocha,0,83999031063,True
58057457,Rua Luiz Teotonio Souza,533,Mangabeira,João Pessoa,PB,Apartamento,,Brasil,62436.39,178,9,1,1,4,,,True,False,False,True,False,True,False,True,True,3.0,1873.0917,Mariana Oliveira,20/01/2023,Luna Cunha,0,83997203759,True
58013430,Avenida Coremas,492,Centro,João Pessoa,PB,Terreno,,Brasil,383266.87,282,5,2,1,5,Aceita carro no negócio,,True,False,True,False,False,True,False,True,True,3.0,11498.0061,Ana Clara da Mota,16/02/2023,Noah Almeida,0,83973445192,True
58059722,Rua Luis Joaquim de Araújo,462,Mangabeira,João Pessoa,PB,Casa,,Brasil,366834.75,73,5,0,3,2,,,False,True,True,True,False,True,False,True,False,0.0,0.0,,,Valentina Ribeiro,0,83973906312,False
58084072,Rua Professora Maria José Costa de Oliveira,865,Jardim Veneza,João Pessoa,PB,Terreno,,Brasil,177600.18,138,2,2,2,1,Aceita permuta,,True,True,True,False,False,False,False,False,True,8.0,14208.0144,Thomas das Neves,25/12/2022,Breno da Mata,0,83949518166,True
58084060,Rua Teodósio de Oliveira Ledo,216,Jardim Veneza,João Pessoa,PB,Casa,,Brasil,396257.95,229,6,3,3,5,Aceita permuta,,False,False,False,True,True,False,True,False,False,0.0,0.0,,,Letícia Monteiro,0,83994928528,False
58058592,Rua Professora Maria Vilani Benício Alves,290,Mangabeira,João Pessoa,PB,Flat,,Brasil,383728.01,375,1,4,1,3,Aceita carro no negócio,,True,False,True,True,False,False,True,False,True,9.0,34535.5209,Leonardo Novaes,18/05/2023,Dr. Theo da Conceição,0,8399473093,False
58057256,Rua Coronel Francisco Pequeno de Souza,946,Mangabeira,João Pessoa,PB,Flat,,Brasil,229215.45,417,1,0,3,5,Aceita carro no negócio,,False,False,False,True,False,False,True,False,True,7.0,16045.0815,Nathan Pires,21/05/2023,Evelyn Melo,0,83998567208,True
58058270,Rua Professor Elziro Gomes de Medeiros,988,Mangabeira,João Pessoa,PB,Casa,,Brasil,316299.61,124,2,4,2,3,Aceita carro no negócio,,True,False,False,False,False,False,False,True,True,8.0,25303.9688,Srta. Manuela Caldeira,02/05/2023,Milena Alves,0,83974459226,True
58090462,Rua Rufino Gomes de Araújo,259,Alto do Mateus,João Pessoa,PB,Casa,,Brasil,470258.62,442,1,4,2,3,Aceita carro no negócio,,True,False,True,True,False,False,False,False,True,6.0,28215.5172,Dr. Francisco Almeida,09/04/2023,Gabrielly Costela,0,8399634728,False
58084135,Rua José Moura Filho,221,Jardim Veneza,João Pessoa,PB,Apartamento,,Brasil,496432.15,233,7,1,3,3,Aceita carro no negócio,,False,False,True,False,False,True,True,True,True,5.0,24821.6075,Breno Lima,03/04/2023,Otávio Carvalho,0,83985385684,False
58043090,Avenida Tito Silva,721,Miramar,João Pessoa,PB,Terreno,,Brasil,491449.01,491,2,1,3,3,Aceita permuta,,True,False,True,False,True,True,False,False,False,0.0,0.0,,,Erick Vieira,0,83960932490,False
58067256,Rua Alina Saraiva de Oliveira,782,Gramame,João Pessoa,PB,Apartamento,,Brasil,181819.47,433,6,4,3,1,Aceita permuta,,True,False,False,False,False,False,True,False,False,0.0,0.0,,,Gabriela da Mota,0,83934730485,True
58046335,Rua Leopolda Reynaldo de Oliveira,209,Altiplano Cabo Branco,João Pessoa,PB,Flat,,Brasil,367617.28,476,1,5,1,4,,,True,True,False,True,True,False,True,False,False,0.0,0.0,,,Valentina Castro,0,83931704613,True
58050220,Rua Doutor Hortêncio Ribeiro,888,Castelo Branco,João Pessoa,PB,Flat,,Brasil,124165.18,434,10,0,3,3,Aceita permuta,,False,True,False,False,False,True,True,False,True,8.0,9933.2144,Alícia Novaes,14/03/2023,Dr. Theo Rocha,0,83915041992,False
58074706,Rua Amara Francisca da Conceição,691,José Américo de Almeida,João Pessoa,PB,Terreno,,Brasil,255902.65,106,3,2,2,2,Aceita carro no negócio,,True,True,True,False,True,False,True,False,False,0.0,0.0,,,Natália Ramos,0,83961378094,False
